Data/Hora,Obs Fiscal,Status,Logradouro,Número,Bairro,Cidade,UF,CEP,Data Agenda,Data Execução,Nome,Concessionária,Tipo da Demanda,Prazo,Zona
2022-03-01 13:03:00,(43559) Coleta de lixo em área pública,Finalizada,Astrogildo Fontoura,691,Barra do Ceará,Fortaleza,,60330330.0,,10/01/2022 00:00,Alexandra Mesquita Joca (SER I),Ecofor,Coleta de Ponto de Lixo Não Cadastrado,Excedido o Prazo,SER 1
2022-03-01 13:05:00,(43560) Coleta de lixo em área pública,Finalizada,Alberto de Oliveira,491,Barra do Ceará,Fortaleza,,60330530.0,,06/01/2022 00:00,Alexandra Mesquita Joca (SER I),Ecofor,Coleta de Ponto de Lixo Não Cadastrado,Excedido o Prazo,SER 1
2022-03-01 13:07:00,(43561) Coleta de lixo em área pública,Finalizada,Adriano Martins,7,Jacarecanga,Fortaleza,,60010590.0,,08/01/2022 00:00,Alexandra Mesquita Joca (SER I),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 1
2022-03-01 13:09:00,(43562) COLETA DE LIXO EM ÁREA PÚBLICA,Finalizada,Ana Faco,87,Álvaro Weyne,Fortaleza,,60335430.0,,06/01/2022 00:00,Alexandra Mesquita Joca (SER I),Ecofor,Coleta de Ponto de Lixo Não Cadastrado,Excedido o Prazo,SER 1
2022-03-01 13:11:00,(43563) Coleta de lixo em área pública,Finalizada,Francisco Calaça,1606,Floresta,Fortaleza,,60336232.0,,08/01/2022 00:00,Alexandra Mesquita Joca (SER I),Ecofor,Coleta de Ponto de Lixo Não Cadastrado,Excedido o Prazo,SER 1
2022-03-01 13:13:00,(43564) COLETA DE LIXO EM ÁREA PÚBLICA,Finalizada,Via Férrea Sobral,1990,Olavo Oliveira,Fortaleza,,60351102.0,,20/01/2022 00:00,Alexandra Mesquita Joca (SER I),Ecofor,Coleta de Ponto de Lixo Não Cadastrado,Excedido o Prazo,SER 3
2022-03-01 13:16:00,(43565) BAIRRO: DOM LUSTOSA,Finalizada,Eurico Medina,534,Henrique Jorge,Fortaleza,,60521075.0,,07/01/2022 00:00,Francisco Eugênio Sales Januário (SER XI),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 11
2022-03-01 13:30:00,(43585) para análise e providências. retirada de material de pequena proporção.,Finalizada,José Batista da Silva,43,Jangurussu,Fortaleza,,60866218.0,,21/01/2022 00:00,Mauro Raniere David Albuquerque Oliveira (SER IX),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 9
2022-03-01 14:00:00,(43566) REMOÇÃO DE RESTO DE MATERIAL DE CONSTRUÇÃO E LIXO NA Local Sujo Rua Mario filho 946 Bairro Novo Mondubim Protocolo 2021122200279 CEP 60764180,Finalizada,Mário Filho,946,Novo Mondubim,Fortaleza,,60764180.0,,05/01/2022 00:00,Rochele Felix de Freitas (SER X),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 10
2022-03-01 14:23:00,(43591) para análise e providências. retirada de entulho manual.,Finalizada,Humberto Teixeira,265,Cajazeiras,Fortaleza,,60864380.0,,21/01/2022 00:00,Mauro Raniere David Albuquerque Oliveira (SER IX),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 9
2022-03-01 14:44:00,"(43613) PARA ANÁLISE E PROVIDÊNCIAS, LIMPEZA DE GALHOS E ENTULHO.",Finalizada,19,30,Barroso,Fortaleza,,60863720.0,,21/01/2022 00:00,Mauro Raniere David Albuquerque Oliveira (SER IX),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 9
2022-03-01 14:45:00,"(43611) PARA ANÁLISE E PROVIDÊNCIAS, LIMPEZA DE GALHOS E ENTULHO.",Finalizada,19,48,Barroso,Fortaleza,,60863720.0,,21/01/2022 00:00,Mauro Raniere David Albuquerque Oliveira (SER IX),Ecofor,Coleta de Volumoso,Excedido o Prazo,SER 9
2022-03-01 14:50:00,(43567) Árvore caída e ja cortada na Rua Raimundo Nery com Rua Agamenon,Finalizada,Raimundo Nery,771,Parque São José,Fortaleza,,60730220.0,,10/01/2022 00:00,José Raphael Martins Cardoso (URBFOR),Ecofor,Coleta de Poda,Excedido o Prazo,SER 10
2022-03-01 14:50:00,(43568) Árvore caída e ja cortada na Rua nova Friburgo 510,Finalizada,Nova Friburgo,510,Bom Jardim,Fortaleza,,60543295.0,,11/01/2022 00:00,José Raphael Martins Cardoso (URBFOR),Ecofor,Coleta de Poda,Excedido o Prazo,SER 5
2022-03-01 14:55:00,"(43569) Árvore caída e ja cortada Br 116, km 06, na altura do numero 2001. Proximo ao DNIT",Finalizada,BR-116,2001,Parque Iracema,Fortaleza,,60824115.0,,25/01/2022 00:00,José Raphael Martins Cardoso (URBFOR),Ecofor,Coleta de Poda,Excedido o Prazo,SER 12
2022-03-01 15:00:00,(43588) para análise e providências. retirada de entulho manual.,Finalizada,Monsenhor Amarílio Rodrigues,155,Jangurussu,Fortaleza,,60866290.0,,21/01/2022 00:00,Mauro Raniere David Albuquerque Oliveira (SER IX),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 9
2022-03-01 15:45:00,(43570) REMOÇÃO DE ENTULHO NA RUA Monsenhor Sabino feijão 879 mas o entulho tá ao lado da 875 CEP: 60545-025,Finalizada,Monsenhor Sabino Feijão,875,Bom Jardim,Fortaleza,,60545025.0,,05/01/2022 00:00,Carlos Alberto de Sousa Almeida (SER V),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 5
2022-03-01 15:53:00,"(43571) REMOÇÃO DE ENTULHO NA R. Oscar França, 508 - Bom Jardim Fortaleza - CE 60543-368",Finalizada,Oscar Franca,508,Bom Jardim,Fortaleza,,60543368.0,,05/01/2022 00:00,Carlos Alberto de Sousa Almeida (SER V),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 5
2022-03-01 15:59:00,(43573) Árvore caída e ja cortada na Av. L nº 361 Jose Walter 2ª etapa Fortaleza/CE Próximo ao colégio Rachel de Queiroz.,Finalizada,L,361,Prefeito José Walter,Fortaleza,,60750110.0,,06/01/2022 00:00,José Raphael Martins Cardoso (URBFOR),Ecofor,Coleta de Poda,Excedido o Prazo,SER 8
2022-03-01 16:04:00,(43572) BAIRRO: PICI PRÓXIMO AO PINHEIRO SUPERMERCADO SIGESP 2022010300799,Finalizada,Piauí,1558,Pici,Fortaleza,,60440545.0,,05/01/2022 00:00,Francisco Eugênio Sales Januário (SER XI),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 11
2022-03-01 16:23:00,(43574) BAIRRO: BELA VISTA POR TRÁS DO COLÉGIO CHRISTUS SIGESP 2022010300905,Finalizada,Mário de Andrade,1246,Bela Vista,Fortaleza,,60442132.0,,05/01/2022 00:00,Francisco Eugênio Sales Januário (SER XI),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 11
2022-03-01 17:00:00,"(43575) REMOÇÃO DE RESTO DE MATERIAL DE CONSTRUÇÃO NA (Lot Prq Aracapé), Mondubim, Fortaleza - CE - CEP 60767592",Finalizada,C,411,Mondubim,Fortaleza,,60767592.0,,13/01/2022 00:00,Rochele Felix de Freitas (SER X),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 10
2022-03-01 18:53:00,"(43576) USUARIO RECLAMA DO NAO ATENDIMENTO DO PROCESSO N: 2021122000212, REFERENTE A: UM PONTO DE LIXO, REGISTRADO EM: 20/12/2021. RELATA QUE ATE O MOMENTO O PROBLEMA PERMANECE E AINDA CONTINUA EM ANALISE NO SISTEMA. ESTA CAUSANDO TRANSTORNOS NO LOCAL, POIS ESTA COM MUITO LIXO. PEDE PROVIDENCIAS.",Finalizada,Doutor Antônio Carneiro,542,Vicente Pinzon,Fortaleza,,60182120.0,,12/01/2022 00:00,Mara Jessyka Bulcão Pires (SEGER),Ecofor,Coleta de Ponto de Lixo Não Cadastrado,Excedido o Prazo,SER 2
2022-03-01 18:55:00,"(43577) USUARIA RECLAMA DO NAO ATENDIMENTO DO PROCESSO N: 2021121500340, REFERENTE A: RETIRADA DE ENTULHO EM VIA PUBLICA, REGISTRADO EM: 15/12/2021. RELATA QUE ATE O MOMENTO DA ABERTURA DESTA RECLAMACAO O ENTULHO DO QUAL FOI SOLICITADO SUA REMOCAO CONTINUA NO MESMO LUGAR, CAUSANDO OS MESMOS TRANSTORNOS E INCOMODOS AOS MORADORES DO ENTORNO, E NAO CONCORDA COM A RESPOSTA DA SER-5/CCSP NA O.S QUE ESTA COMO ""PROCESSO FINALIZADO DE ACORDO COM A SISTEMATIZACAO DE RECOLHIMENTO DE ENTULHO NO PERIODO DETERMINADO"", POR ISSO PEDE QUE SEJA VERIFICADO, E QUE A PREFEITURE EXECUTE ESSA LIMPEZA. PEDE PROVIDENCIAS.",Finalizada,Coronel Fabriciano,1989,Granja Portugal,Fortaleza,,60540835.0,,05/01/2022 00:00,Mara Jessyka Bulcão Pires (SEGER),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 5
2022-03-01 18:59:00,"(43578) USUARIO RECLAMA DO NAO ATENDIMENTO DO PROCESSO 2021122000647 ABERTO DIA 20/12/2021, REFERENTE A LIMPEZA DE UM PONTO DE LIXO. RELATA QUE ATE O MOMENTO NADA FOI RESOLVIDO, O QUE ESTA CAUSANDO TRANSTORNOS NO LOCAL. SOLICITA PROVIDENCIAS.",Finalizada,Desembargador Gonzaga,1729,Parque Iracema,Fortaleza,,60824057.0,,20/01/2022 00:00,Mara Jessyka Bulcão Pires (SEGER),Ecofor,Coleta de Ponto de Lixo Não Cadastrado,Excedido o Prazo,SER 12
2022-04-01 07:20:00,(43579) lixo ao lado assai,Finalizada,Napoleão Quezado,101,Parangaba,Fortaleza,,60720500.0,,10/01/2022 00:00,Ediel Souza do Nascimento (SER IV),Ecofor,Coleta de Ponto de Lixo Não Cadastrado,Excedido o Prazo,SER 4
2022-04-01 08:00:00,(43580) REMOÇÃO DE RESTO DE MATERIAL DE CONSTRUÇÃO NA Rua Cambara 152 Parangaba Cep 60710410,Finalizada,Cambará,152,Parangaba,Fortaleza,,60710410.0,,07/01/2022 00:00,Rochele Felix de Freitas (SER X),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 4
2022-04-01 08:30:00,(43581) REMOÇÃO DE ENTULHO NA RUA orlando dias n.651 bom jardim,Finalizada,Orlando Dias,651,Siqueira,Fortaleza,,60544420.0,,10/01/2022 00:00,Carlos Alberto de Sousa Almeida (SER V),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 5
2022-04-01 08:48:00,(43583) BAIRRO: PAN AMERICANO,Finalizada,Acre,54,Pan Americano,Fortaleza,,60440770.0,,31/01/2022 00:00,Francisco Eugênio Sales Januário (SER XI),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 11
2022-04-01 08:49:00,"(43582) A equipe de Infraestrutura e Conservação e esteve no local indicado e identificou o acúmulo de lixo, solicitamos a remoção e estudo posterior para eliminação desse ponto via ECOFOR. Ponto de Lixo recorrente.",Finalizada,General Melo Machado,210,Aldeota,Fortaleza,,60125200.0,,05/01/2022 00:00,Anna Karolyne Xavier Siqueira de Oliveira (SER II),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 2
